,Asset Category,Risk,6 month returns,Links,ID
S&P/TSX Composite (GSPTSE),Indices,Low - Medium,-5.36%,https://ca.investing.com/indices/s-p-tsx-composite,1
S&P/TSX 60 (SPTSE),Indices,Medium,-5.78%,https://ca.investing.com/indices/s-p-tsx-60,2
US 30 Cash (US30),Indices,Low - Medium,-1.06%,https://ca.investing.com/indices/us-30-futures?cid=1175152,3
US 500 Cash (US500),Indices,Low,4.18%,https://ca.investing.com/indices/us-spx-500-futures?cid=1175153,4
CBOE Volatility Index (VIX),Indices,Low,-3.32%,https://ca.investing.com/indices/volatility-s-p-500,5
DAX (GDAXI),Indices,Medium,-3.82%,https://ca.investing.com/indices/germany-30,6
US Dollar Index Futures - Dec 23 (DXZ3),Indices,Low - Medium,5.03%,https://ca.investing.com/currencies/us-dollar-index,7
Crude Oil WTI Futures - Nov 23 (CLX3),Commodities,Low,12.33%,https://ca.investing.com/commodities/crude-oil,8
Brent Oil Futures - Dec 23 (LCOZ3),Commodities,Low,11.11%,https://ca.investing.com/commodities/brent-oil,9
Natural Gas Futures - Nov 23 (NGX3),Commodities,Medium,1.29%,https://ca.investing.com/commodities/natural-gas,10
Gold Futures - Dec 23 (GCZ3),Commodities,Low,-5.64%,https://ca.investing.com/commodities/gold,11
Silver Futures - Dec 23 (SIZ3),Commodities,Low - Medium,-11.39%,https://ca.investing.com/commodities/silver,12
US Soybeans Futures - Nov 23 (ZSX3),Commodities,Medium - High,-2.25%,https://ca.investing.com/commodities/us-soybeans,13
US Cotton #2 Futures - Dec 23 (CTZ3),Commodities,Medium - High,3.95%,https://ca.investing.com/commodities/us-cotton-no.2,14
Bombardier Inc (BBDb),Stocks,Medium,-9.30%,https://ca.investing.com/equities/bombardier-inc,15
Enbridge Inc (ENB),Stocks,High,0.55%,https://ca.investing.com/equities/enbridge-inc.,16
Air Canada (AC),Stocks,Low,-3.27%,https://ca.investing.com/equities/air-canada,17
Ovintiv Inc (OVV),Stocks,Low - Medium,2.72%,https://ca.investing.com/equities/encana-corporation?cid=24523,18
Apple Inc (AAPL),Stocks,Low - Medium,-1.03%,https://ca.investing.com/equities/apple-computer-inc,19
Alibaba Group Holdings Ltd ADR (BABA),Stocks,Medium,-12.63%,https://ca.investing.com/equities/alibaba,20
Tesla Inc (TSLA),Stocks,Low,35.09%,https://ca.investing.com/equities/tesla-motors,21
Canada 5-Year Bond Yield,Bonds,Low - Medium,28.81%,https://ca.investing.com/rates-bonds/canada-5-year-bond-yield,22
Canada 10-Year Bond Yield,Bonds,Low,28.69%,https://ca.investing.com/rates-bonds/canada-10-year-bond-yield,23
Canada 30-Year Bond Yield,Bonds,Low,16.61%,https://ca.investing.com/rates-bonds/canada-30-year-bond-yield,24
United States 2-Year Bond Yield,Bonds,Low - Medium,20.15%,https://ca.investing.com/rates-bonds/u.s.-2-year-bond-yield,25
United States 10-Year Bond Yield,Bonds,Low,28.31%,https://ca.investing.com/rates-bonds/u.s.-10-year-bond-yield,26
United States 30-Year Bond Yield,Bonds,Low,24.96%,https://ca.investing.com/rates-bonds/u.s.-30-year-bond-yield,27
Germany 10-Year Bond Yield,Bonds,Low ,10.68%,https://ca.investing.com/rates-bonds/germany-10-year-bond-yield,28
BNS357,Cash Equiv,Low,2.06,https://www.scotiafunds.com/en/home/all-funds/cash-equivalent-funds.html,29
BNS375,Cash Equiv,Low - Medium,1.97,https://www.scotiafunds.com/en/home/all-funds/cash-equivalent-funds.html,30
BNS314,Income Fund,Low - Medium,0.62,https://www.scotiafunds.com/en/home/all-funds/income-funds.html,31
BNS377,Income Fund,Medium,0.55,https://www.scotiafunds.com/en/home/all-funds/income-funds.html,32
BNS379,Income Fund,Medium ,0.46,https://www.scotiafunds.com/en/home/all-funds/income-funds.html,33
BNS378,Balanced Fund,Medium,1.38,https://www.scotiafunds.com/en/home/all-funds/balanced-funds.html,34
BNS309,Balanced Fund,Medium,0.56,https://www.scotiafunds.com/en/home/all-funds/balanced-funds.html,35
BNS267,Balanced Fund,Medium,6.13,https://www.scotiafunds.com/en/home/all-funds/balanced-funds.html,36
BNS385,Equity Fund,Medium,0.34,https://www.scotiafunds.com/en/home/all-funds/canadian-equity-funds.html,37
BNS350,Equity Fund,High,3.27,https://www.scotiafunds.com/en/home/all-funds/canadian-equity-funds.html,38
BNS384,Equity Fund,Low - Medium,-6.66,https://www.scotiafunds.com/en/home/all-funds/canadian-equity-funds.html,39
BNS386,Index Funds,Medium - High,-0.32,https://www.scotiafunds.com/en/home/all-funds/index-funds.html,40
BNS382,Index Funds,High,13.1,https://www.scotiafunds.com/en/home/all-funds/index-funds.html,41
BNS397,Index Funds,Medium-High,27.29,https://www.scotiafunds.com/en/home/all-funds/index-funds.html,42
BNS2210,Portfolio,Medium,4.46,https://www.scotiafunds.com/en/home/portfolio-solutions/all-funds.html,43
BNS332,Portfolio,Low - Medium,2.38,https://www.scotiafunds.com/en/home/portfolio-solutions/all-funds.html,44
BNS2201,Portfolio,Low-Medium,1.77,https://www.scotiafunds.com/en/home/portfolio-solutions/all-funds.html,45